ISBN,Autor,Titulo,Editora,Ano,Estante,Preco,Idioma,Capa,Peso,Dimensoes,Paginas
9786558645528,Geraldo Lavigne de Lemos,Primeira Poesia Revisitada,Patuá,2023,Poesia,10,Português,Comum,530,23 x 16 cm,274
ND,Luana Przewodowski,Quinze,Scortecci,ND,Poesia,10,Português,Comum,121,20 x 14 cm,74
9788536625225,Nathan de Castro,Sede de Voar,Scortecci,2012,Poesia,10,Português,Comum,190,21 x 14 cm,120
ND,Henrique Campos Sangiorgi,Ser de Luz,Littera Maciel,1985,Poesia,10,Português,Comum,206,22 x 15 cm,110
9788567620565,Felipe Turner,Sinfonia do Caos,Book Express,2015,Poesia,10,Português,Comum,100,21 x 14 cm,56
9788572630801,Manuel Maria Barbosa Du Bocage,Sonetos de Bocage,Nucleo,1995,Poesia,10,Português,Comum,90,15 x 10 cm,100
9788580200140,Danilo dos Santos Marcello; Lucas,Tesouro,Nelpa,2010,Poesia,10,Português,Comum,110,21 x 14 cm,82
ND,Bas de Bont,Tussen Neus En Lippen,Kunsfmarkt,1963,Poesia,10,Holandês,Comum,65,16 x 12 cm,32
9788564586666,M. Zelia de Marqui Citeli,Vi da Vida,Intermeios,2014,Poesia,10,Português,Comum,480,23 x 16 cm,298
9788500001316,Manuel Bandeira,Vou-me Embora para Pasárgada e Outros Poemas,Ediouro,1997,Poesia,10,Português,Comum,70,15 x 10 cm,112
ND,O Príncipe,Maquiavel,Bertrand Brasil,1990,Política,10,Português,Comum,242,21 x 14 cm,160
ND,Dr. Abdulrahman al-Sheha,A Mensagem do Islam,Muslim,ND,Religião,10,Português,Comum,259,21 x 14 cm,216
9780987589156,Muhammad,Biografia e Guia Ilustrado dos Fundamentos Morais da Civilização Islâmica,ISRA,2014,Religião,10,Português,Comum,193,15 x 11 cm,272
9788538900245,Escala,Histórias de Religião e Fé,Escala,2009,Religião,10,Português,Comum,206,20 x 14 cm,128
9788538901464,Fernando Moretti,Maçonaria: Ritos e Valores,Escala,2012,Religião,80,Português,Comum,252,23 x 16 cm,176
ND,Dr. Abdulrahman al-Sheha,"Muhammad, O Mensageiro de Deus",Islamhouse,2007,Religião,10,Português,Comum,114,21 x 14 cm,76
9788563965004,Wagner de Assis,Nosso Lar: Bastidores do Filme,FEB,2010,Religião,10,Português,Comum,602,23 x 16 cm,256
ND,Samir El Hayek (trad.),Os Significados dos Versículos do Alcorão Sagrado,FAMBRAS,ND,Religião,20,Português,Comum,404,19 x 14 cm,544
ND,Vários Autores,Presente Diário Vol. 26: Um Devocional Para Aqueles que Buscam Deus,RTM,2023,Religião,10,Português,Comum,253,17 x 11 cm,384
9788960522333,I. A. Ibrahim,Um Breve Guia Ilustrado Para Compreender o Islã,Darussalam,2008,Religião,10,Português,Comum,165,21 x 14 cm,72
9788564065178,Rorion Gracie,A Dieta Gracie: O Segredo dos Campeões,Benvirá,2012,Saúde,10,Português,Comum,193,19 x 13 cm,176
ND,Antônio Jordão Netto,A Evolução das Idéias Sociais,McGraw-Hill,1988,Sociologia,10,Português,Comum,222,23 x 16 cm,118
ND,Horácio Gonzáles,O que é Subdesenvolvimento (Coleção Primeiro Passos Vol. 14),Brasiliense,1985,Sociologia,10,Português,Comum,118,16 x 11 cm,128
ND,Federico García Lorca,A Casa de Bernarda Alba,LDA,1988,Teatro,10,Português,Comum,88,18 x 13 cm,96
9788598581057,Alberico Rodrigues,A Evolução do Zé Batalha: Teatro Rural Brasileiro,Mentes Raras,2008,Teatro,10,Português,Comum,83,21 x 16 cm,26
ND,Sófocles,Édipo Rei,LDA,1988,Teatro,10,Português,Comum,90,18 x 13 cm,96
ND,Molière,Escola de Mulheres,LDA,1988,Teatro,10,Português,Comum,90,18 x 13 cm,96
9788581082417,Luiz Salem,Gozados,Giostri,2013,Teatro,10,Português,Comum,170,21 x 14 cm,94
9788500913914,Dias Gomes,Pagador de Promessas,Ediouro,ND,Teatro,10,Português,Comum,135,21 x 12 cm,98
